number,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes
200,The Fano-Foam Manifold,10.5281/zenodo.19869263,19869263,10.5281-zenodo.19869263,B,foundations|geometry|fano|g2,True,published,
201,The Maslov-Gibbs Einsum (MGE),10.5281/zenodo.17981393,17981393,10.5281-zenodo.17981393,A,core-engine|optimisation|ai-ml|tropical,True,published,
202,Topological Resonance Synthesis (TRS),10.5281/zenodo.19858021,19858021,10.5281-zenodo.19858021,A,core-engine|optimisation|ai-ml|geometry,True,published,
203,The Unitary Resonance Network (URN),10.5281/zenodo.20086746,20086746,10.5281-zenodo.20086746,C,hardware-ai|ai-ml|continual-learning,True,published,
205,The Resonance Processing Unit (RPU),10.5281/zenodo.19743800,19743800,10.5281-zenodo.19743800,C,hardware-ai|qec|hardware,True,published,
206,Fibrational Tensor Codes (FTCs),10.5281/zenodo.19821692,19821692,10.5281-zenodo.19821692,C,hardware-ai|qec|fano|g2,True,published,
207,The 731-Calculus (Part 1),10.5281/zenodo.19713350,19713350,10.5281-zenodo.19713350,B,foundations|geometry|fano|category-theory,True,published,
208,The Magmoidal Cipher,10.5281/zenodo.19826357,19826357,10.5281-zenodo.19826357,D,protocols|cryptography|post-quantum,False,published,
209,Nuclear Magic Numbers and Exceptional Lie Algebras,10.5281/zenodo.19960385,19960385,10.5281-zenodo.19960385,B,foundations|g2|octonions|number-theory,False,published,
210,"Electron Shell Structure and Exceptional Lie Algebras: Shell Capacities, the Division Algebra Ladder, and the Lanthanide Contraction as G₂ Rigidity",10.5281/zenodo.19964651,19964651,10.5281-zenodo.19964651,B,foundations|g2|octonions,False,published,
211,Non-Associative Calculus,10.5281/zenodo.20025384,20025384,10.5281-zenodo.20025384,A|B,foundations|core-engine|calculus|g2|octonions,True,published,
212,"Geometric Code Switching: PG(2,2) → PG(3,2) Projective Envelopes, Transversal CCZ, and a Geometric Primitive for Grover's Diffusion Operator",10.5281/zenodo.19929360,19929360,10.5281-zenodo.19929360,C,hardware-ai|qec|fano|hardware,False,published,
217,Fibrational Lattice Surgery (FLS),10.5281/zenodo.19922441,19922441,10.5281-zenodo.19922441,C,hardware-ai|qec|hardware,True,published,
218,Thermodynamic Routing of Stale Gradients,10.5281/zenodo.20077198,20077198,10.5281-zenodo.20077198,C,hardware-ai|ai-ml|optimisation|distributed,True,published,
219,"An Adelic Invitation: Observations on Non-Associativity, Division Algebras, and the Next Computational Paradigm",10.5281/zenodo.19977475,19977475,10.5281-zenodo.19977475,B,foundations|octonions|calculus,False,published,
